时间,数据A_光纤位移计数据_mm,数据B_振弦式位移计数据_mm,问题1_建模样本标记,问题1_非初始零值异常标记,问题1_A校正后_mm,问题1_校正前残差_A减B_mm,问题1_校正后残差_校正A减B_mm,问题1_校正前绝对误差_mm,问题1_校正后绝对误差_mm
2024-01-01 10:00,0.0,0.0,True,False,-0.5330952567392996,0.0,-0.5330952567392996,0.0,0.5330952567392996
2024-01-01 10:10,2.645,1.973,True,False,1.7991696700480273,0.6719999999999999,-0.17383032995197278,0.6719999999999999,0.17383032995197278
2024-01-01 10:20,12.785,5.085,True,False,10.740253359130634,7.7,5.655253359130634,7.7,5.655253359130634
2024-01-01 10:30,3.2,2.109,True,False,2.2885485110185253,1.0910000000000002,0.17954851101852531,1.0910000000000002,0.17954851101852531
2024-01-01 10:40,3.018,2.12,True,False,2.1280675217272984,0.8979999999999997,0.008067521727298299,0.8979999999999997,0.008067521727298299
2024-01-01 10:50,3.387,2.201,True,False,2.453438318696873,1.186,0.25243831869687305,1.186,0.25243831869687305
2024-01-01 11:00,0.0,0.227,False,True,-0.5330952567392996,-0.227,-0.7600952567392996,0.227,0.7600952567392996
2024-01-01 11:10,3.332,2.286,True,False,2.4049413164385354,1.0459999999999998,0.11894131643853534,1.0459999999999998,0.11894131643853534
2024-01-01 11:20,3.347,2.277,True,False,2.4181677715999,1.0699999999999998,0.1411677715998998,1.0699999999999998,0.1411677715998998
2024-01-01 11:30,3.065,2.256,True,False,2.1695104145662416,0.8090000000000002,-0.08648958543375818,0.8090000000000002,0.08648958543375818
2024-01-01 11:40,3.215,2.356,True,False,2.30177496617989,0.859,-0.054225033820110013,0.859,0.054225033820110013
2024-01-01 11:50,3.625,2.405,True,False,2.663298073923861,1.2200000000000002,0.25829807392386117,1.2200000000000002,0.25829807392386117
2024-01-01 12:00,3.285,2.411,True,False,2.363498423599592,0.8740000000000001,-0.04750157640040786,0.8740000000000001,0.04750157640040786
2024-01-01 12:10,17.778,6.676,True,False,15.142899400510263,11.101999999999999,8.466899400510263,11.101999999999999,8.466899400510263
2024-01-01 12:20,3.309,2.462,True,False,2.3846607518577763,0.847,-0.07733924814222393,0.847,0.07733924814222393
2024-01-01 12:30,3.402,2.502,True,False,2.4666647738582377,0.9000000000000004,-0.0353352261417621,0.9000000000000004,0.0353352261417621
2024-01-01 12:40,3.627,2.553,True,False,2.6650616012787096,1.0739999999999998,0.11206160127870968,1.0739999999999998,0.11206160127870968
2024-01-01 12:50,3.471,2.545,True,False,2.527506467600516,0.9260000000000002,-0.017493532399484035,0.9260000000000002,0.017493532399484035
2024-01-01 13:00,3.189,2.57,True,False,2.2788491105668576,0.6190000000000002,-0.29115088943314227,0.6190000000000002,0.29115088943314227
2024-01-01 13:10,3.843,2.673,True,False,2.855522555602363,1.17,0.18252255560236286,1.17,0.18252255560236286
2024-01-01 13:20,3.837,2.704,True,False,2.850231973537817,1.133,0.1462319735378168,1.133,0.1462319735378168
2024-01-01 13:30,3.448,2.658,True,False,2.5072259030197563,0.79,-0.15077409698024358,0.79,0.15077409698024358
