dataset,row_index,column,value,issue
附件1_Sheet1,6,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,40,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,44,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,54,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,66,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,67,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,83,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,90,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,112,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,113,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,116,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,125,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,132,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,146,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,173,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,184,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,201,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,254,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,321,数据A_光纤位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,40,数据B_振弦式位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,54,数据B_振弦式位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,66,数据B_振弦式位移计数据_mm,0.0,非起始位置零值
附件1_Sheet1,96,数据A_光纤位移计数据_mm,20.23,局部差分突变候选
附件1_Sheet1,97,数据A_光纤位移计数据_mm,6.287,局部差分突变候选
附件1_Sheet1,334,数据A_光纤位移计数据_mm,22.283,局部差分突变候选
附件1_Sheet1,460,数据A_光纤位移计数据_mm,11.523,局部差分突变候选
附件1_Sheet1,466,数据A_光纤位移计数据_mm,34.417,局部差分突变候选
附件1_Sheet1,467,数据A_光纤位移计数据_mm,27.457,局部差分突变候选
附件1_Sheet1,546,数据A_光纤位移计数据_mm,38.327,局部差分突变候选
附件1_Sheet1,751,数据A_光纤位移计数据_mm,41.459,局部差分突变候选
附件1_Sheet1,752,数据A_光纤位移计数据_mm,30.905,局部差分突变候选
附件1_Sheet1,788,数据A_光纤位移计数据_mm,19.787,局部差分突变候选
附件1_Sheet1,824,数据A_光纤位移计数据_mm,47.745,局部差分突变候选
附件1_Sheet1,825,数据A_光纤位移计数据_mm,34.057,局部差分突变候选
附件1_Sheet1,1325,数据A_光纤位移计数据_mm,7.132,局部差分突变候选
附件1_Sheet1,1326,数据A_光纤位移计数据_mm,53.053,局部差分突变候选
附件1_Sheet1,1344,数据A_光纤位移计数据_mm,40.598,局部差分突变候选
附件1_Sheet1,1345,数据A_光纤位移计数据_mm,53.755,局部差分突变候选
附件1_Sheet1,1543,数据A_光纤位移计数据_mm,72.411,局部差分突变候选
附件1_Sheet1,1764,数据A_光纤位移计数据_mm,55.707,局部差分突变候选
附件1_Sheet1,1765,数据A_光纤位移计数据_mm,69.506,局部差分突变候选
附件1_Sheet1,1831,数据A_光纤位移计数据_mm,84.296,局部差分突变候选
附件1_Sheet1,1832,数据A_光纤位移计数据_mm,72.028,局部差分突变候选
附件1_Sheet1,2007,数据A_光纤位移计数据_mm,65.187,局部差分突变候选
附件1_Sheet1,2008,数据A_光纤位移计数据_mm,78.801,局部差分突变候选
附件1_Sheet1,2200,数据A_光纤位移计数据_mm,100.358,局部差分突变候选
附件1_Sheet1,2371,数据A_光纤位移计数据_mm,105.646,局部差分突变候选
附件1_Sheet1,2372,数据A_光纤位移计数据_mm,92.571,局部差分突变候选
附件1_Sheet1,2605,数据A_光纤位移计数据_mm,88.24,局部差分突变候选
附件1_Sheet1,2876,数据A_光纤位移计数据_mm,99.744,局部差分突变候选
附件1_Sheet1,3488,数据A_光纤位移计数据_mm,147.939,局部差分突变候选
附件1_Sheet1,3594,数据A_光纤位移计数据_mm,139.018,局部差分突变候选
附件1_Sheet1,3831,数据A_光纤位移计数据_mm,147.661,局部差分突变候选
附件1_Sheet1,3894,数据A_光纤位移计数据_mm,149.87,局部差分突变候选
附件1_Sheet1,3937,数据A_光纤位移计数据_mm,151.887,局部差分突变候选
附件1_Sheet1,4103,数据A_光纤位移计数据_mm,168.686,局部差分突变候选
附件1_Sheet1,4454,数据A_光纤位移计数据_mm,171.168,局部差分突变候选
附件1_Sheet1,4594,数据A_光纤位移计数据_mm,187.045,局部差分突变候选
附件1_Sheet1,4595,数据A_光纤位移计数据_mm,176.046,局部差分突变候选
附件1_Sheet1,4642,数据A_光纤位移计数据_mm,184.294,局部差分突变候选
附件1_Sheet1,5071,数据A_光纤位移计数据_mm,204.104,局部差分突变候选
附件1_Sheet1,5072,数据A_光纤位移计数据_mm,181.105,局部差分突变候选
附件1_Sheet1,5394,数据A_光纤位移计数据_mm,193.055,局部差分突变候选
附件1_Sheet1,6628,数据A_光纤位移计数据_mm,238.589,局部差分突变候选
附件1_Sheet1,6808,数据A_光纤位移计数据_mm,272.462,局部差分突变候选
附件1_Sheet1,7877,数据A_光纤位移计数据_mm,300.334,局部差分突变候选
附件1_Sheet1,8205,数据A_光纤位移计数据_mm,167.667,局部差分突变候选
附件1_Sheet1,8206,数据A_光纤位移计数据_mm,313.094,局部差分突变候选
附件1_Sheet1,8790,数据A_光纤位移计数据_mm,18.526,局部差分突变候选
附件1_Sheet1,8791,数据A_光纤位移计数据_mm,324.236,局部差分突变候选
附件1_Sheet1,8928,数据A_光纤位移计数据_mm,328.359,局部差分突变候选
附件1_Sheet1,8929,数据A_光纤位移计数据_mm,340.0,局部差分突变候选
附件1_Sheet1,146,数据B_振弦式位移计数据_mm,3.648,局部差分突变候选
附件1_Sheet1,147,数据B_振弦式位移计数据_mm,6.877,局部差分突变候选
附件1_Sheet1,270,数据B_振弦式位移计数据_mm,13.737,局部差分突变候选
附件1_Sheet1,441,数据B_振弦式位移计数据_mm,12.616,局部差分突变候选
附件1_Sheet1,489,数据B_振弦式位移计数据_mm,14.961,局部差分突变候选
附件1_Sheet1,788,数据B_振弦式位移计数据_mm,24.343,局部差分突变候选
附件1_Sheet1,824,数据B_振弦式位移计数据_mm,33.598,局部差分突变候选
附件1_Sheet1,1325,数据B_振弦式位移计数据_mm,5.729,局部差分突变候选
附件1_Sheet1,1326,数据B_振弦式位移计数据_mm,46.167,局部差分突变候选
附件1_Sheet1,1400,数据B_振弦式位移计数据_mm,52.634,局部差分突变候选
附件1_Sheet1,1401,数据B_振弦式位移计数据_mm,45.472,局部差分突变候选
附件1_Sheet1,1623,数据B_振弦式位移计数据_mm,56.117,局部差分突变候选
附件1_Sheet1,1667,数据B_振弦式位移计数据_mm,59.854,局部差分突变候选
附件1_Sheet1,2256,数据B_振弦式位移计数据_mm,77.212,局部差分突变候选
附件1_Sheet1,2288,数据B_振弦式位移计数据_mm,75.252,局部差分突变候选
附件1_Sheet1,2289,数据B_振弦式位移计数据_mm,78.285,局部差分突变候选
附件1_Sheet1,2351,数据B_振弦式位移计数据_mm,83.72,局部差分突变候选
附件1_Sheet1,2461,数据B_振弦式位移计数据_mm,86.405,局部差分突变候选
附件1_Sheet1,2605,数据B_振弦式位移计数据_mm,84.866,局部差分突变候选
附件1_Sheet1,2722,数据B_振弦式位移计数据_mm,95.259,局部差分突变候选
附件1_Sheet1,2723,数据B_振弦式位移计数据_mm,92.756,局部差分突变候选
附件1_Sheet1,2897,数据B_振弦式位移计数据_mm,95.393,局部差分突变候选
附件1_Sheet1,2898,数据B_振弦式位移计数据_mm,98.529,局部差分突变候选
附件1_Sheet1,2903,数据B_振弦式位移计数据_mm,94.457,局部差分突变候选
附件1_Sheet1,4103,数据B_振弦式位移计数据_mm,141.963,局部差分突变候选
附件1_Sheet1,4217,数据B_振弦式位移计数据_mm,146.292,局部差分突变候选
附件1_Sheet1,4381,数据B_振弦式位移计数据_mm,143.564,局部差分突变候选
附件1_Sheet1,4382,数据B_振弦式位移计数据_mm,148.028,局部差分突变候选
附件1_Sheet1,5017,数据B_振弦式位移计数据_mm,172.587,局部差分突变候选
附件1_Sheet1,5072,数据B_振弦式位移计数据_mm,167.07,局部差分突变候选
附件1_Sheet1,5348,数据B_振弦式位移计数据_mm,177.85,局部差分突变候选
附件1_Sheet1,5349,数据B_振弦式位移计数据_mm,180.352,局部差分突变候选
附件1_Sheet1,5416,数据B_振弦式位移计数据_mm,182.517,局部差分突变候选
附件1_Sheet1,5449,数据B_振弦式位移计数据_mm,188.113,局部差分突变候选
附件1_Sheet1,5450,数据B_振弦式位移计数据_mm,183.6,局部差分突变候选
附件1_Sheet1,5456,数据B_振弦式位移计数据_mm,180.492,局部差分突变候选
附件1_Sheet1,5692,数据B_振弦式位移计数据_mm,195.248,局部差分突变候选
附件1_Sheet1,6357,数据B_振弦式位移计数据_mm,217.084,局部差分突变候选
