dataset,row_index,column,value,issue
附件4_训练集,557,表面位移_mm,1.917,局部差分突变候选
附件4_训练集,558,表面位移_mm,1.637,局部差分突变候选
附件4_训练集,564,表面位移_mm,4.055,局部差分突变候选
附件4_训练集,565,表面位移_mm,1.828,局部差分突变候选
附件4_训练集,777,表面位移_mm,5.314,局部差分突变候选
附件4_训练集,778,表面位移_mm,1.875,局部差分突变候选
附件4_训练集,929,表面位移_mm,2.725,局部差分突变候选
附件4_训练集,1994,表面位移_mm,15.337,局部差分突变候选
附件4_训练集,1995,表面位移_mm,5.259,局部差分突变候选
附件4_训练集,2247,表面位移_mm,5.148,局部差分突变候选
附件4_训练集,2363,表面位移_mm,5.035,局部差分突变候选
附件4_训练集,2432,表面位移_mm,5.61,局部差分突变候选
附件4_训练集,3366,表面位移_mm,11.581,局部差分突变候选
附件4_训练集,3367,表面位移_mm,6.534,局部差分突变候选
附件4_训练集,4130,表面位移_mm,11.612,局部差分突变候选
附件4_训练集,4131,表面位移_mm,7.517,局部差分突变候选
附件4_训练集,4525,表面位移_mm,7.081,局部差分突变候选
附件4_训练集,4526,表面位移_mm,8.512,局部差分突变候选
附件4_训练集,4999,表面位移_mm,10.468,局部差分突变候选
附件4_训练集,5288,表面位移_mm,12.627,局部差分突变候选
附件4_训练集,5466,表面位移_mm,12.984,局部差分突变候选
附件4_训练集,5622,表面位移_mm,13.703,局部差分突变候选
附件4_训练集,5777,表面位移_mm,14.011,局部差分突变候选
附件4_训练集,5801,表面位移_mm,14.462,局部差分突变候选
附件4_训练集,5802,表面位移_mm,14.142,局部差分突变候选
附件4_训练集,6296,表面位移_mm,17.293,局部差分突变候选
附件4_训练集,6395,表面位移_mm,28.798,局部差分突变候选
附件4_训练集,6396,表面位移_mm,20.238,局部差分突变候选
附件4_训练集,6527,表面位移_mm,29.71,局部差分突变候选
附件4_训练集,6528,表面位移_mm,25.419,局部差分突变候选
附件4_训练集,6637,表面位移_mm,36.642,局部差分突变候选
附件4_训练集,6638,表面位移_mm,30.688,局部差分突变候选
附件4_训练集,6891,表面位移_mm,37.728,局部差分突变候选
附件4_训练集,7043,表面位移_mm,36.76,局部差分突变候选
附件4_训练集,7151,表面位移_mm,37.151,局部差分突变候选
附件4_训练集,7517,表面位移_mm,37.233,局部差分突变候选
附件4_训练集,7869,表面位移_mm,40.758,局部差分突变候选
附件4_训练集,7870,表面位移_mm,37.051,局部差分突变候选
附件4_训练集,8065,表面位移_mm,37.54,局部差分突变候选
附件4_训练集,8436,表面位移_mm,51.605,局部差分突变候选
附件4_训练集,8437,表面位移_mm,40.624,局部差分突变候选
附件4_训练集,8580,表面位移_mm,52.514,局部差分突变候选
附件4_训练集,8778,表面位移_mm,70.45,局部差分突变候选
附件4_训练集,8779,表面位移_mm,68.397,局部差分突变候选
附件4_训练集,9146,表面位移_mm,198.605,局部差分突变候选
附件4_训练集,9262,表面位移_mm,232.184,局部差分突变候选
附件4_训练集,9643,表面位移_mm,462.39,局部差分突变候选
附件4_训练集,9644,表面位移_mm,459.217,局部差分突变候选
附件4_训练集,9690,表面位移_mm,520.985,局部差分突变候选
附件4_训练集,9691,表面位移_mm,513.192,局部差分突变候选
附件4_训练集,117,孔隙水压力_kPa,36.19,局部差分突变候选
附件4_训练集,290,孔隙水压力_kPa,27.63,局部差分突变候选
附件4_训练集,707,孔隙水压力_kPa,29.19,局部差分突变候选
附件4_训练集,731,孔隙水压力_kPa,33.13,局部差分突变候选
附件4_训练集,941,孔隙水压力_kPa,30.84,局部差分突变候选
附件4_训练集,1062,孔隙水压力_kPa,38.63,局部差分突变候选
附件4_训练集,1098,孔隙水压力_kPa,44.57,局部差分突变候选
附件4_训练集,1484,孔隙水压力_kPa,34.55,局部差分突变候选
附件4_训练集,1946,孔隙水压力_kPa,13.69,局部差分突变候选
附件4_训练集,2227,孔隙水压力_kPa,15.4,局部差分突变候选
附件4_训练集,2279,孔隙水压力_kPa,19.88,局部差分突变候选
附件4_训练集,2370,孔隙水压力_kPa,17.16,局部差分突变候选
附件4_训练集,2837,孔隙水压力_kPa,16.45,局部差分突变候选
附件4_训练集,2945,孔隙水压力_kPa,17.47,局部差分突变候选
附件4_训练集,3056,孔隙水压力_kPa,22.94,局部差分突变候选
附件4_训练集,3062,孔隙水压力_kPa,27.32,局部差分突变候选
附件4_训练集,3249,孔隙水压力_kPa,46.61,局部差分突变候选
附件4_训练集,4006,孔隙水压力_kPa,18.11,局部差分突变候选
附件4_训练集,4084,孔隙水压力_kPa,26.27,局部差分突变候选
附件4_训练集,4210,孔隙水压力_kPa,26.2,局部差分突变候选
附件4_训练集,4214,孔隙水压力_kPa,31.52,局部差分突变候选
附件4_训练集,4334,孔隙水压力_kPa,31.77,局部差分突变候选
附件4_训练集,4448,孔隙水压力_kPa,39.09,局部差分突变候选
附件4_训练集,4567,孔隙水压力_kPa,39.49,局部差分突变候选
附件4_训练集,4691,孔隙水压力_kPa,35.17,局部差分突变候选
附件4_训练集,4716,孔隙水压力_kPa,38.81,局部差分突变候选
附件4_训练集,4843,孔隙水压力_kPa,40.23,局部差分突变候选
附件4_训练集,4946,孔隙水压力_kPa,31.4,局部差分突变候选
附件4_训练集,4947,孔隙水压力_kPa,54.02,局部差分突变候选
附件4_训练集,5021,孔隙水压力_kPa,59.69,局部差分突变候选
附件4_训练集,5446,孔隙水压力_kPa,36.45,局部差分突变候选
附件4_训练集,5728,孔隙水压力_kPa,36.77,局部差分突变候选
附件4_训练集,5754,孔隙水压力_kPa,49.42,局部差分突变候选
附件4_训练集,6002,孔隙水压力_kPa,34.26,局部差分突变候选
附件4_训练集,6204,孔隙水压力_kPa,31.22,局部差分突变候选
附件4_训练集,6264,孔隙水压力_kPa,35.32,局部差分突变候选
附件4_训练集,6381,孔隙水压力_kPa,39.77,局部差分突变候选
附件4_训练集,6391,孔隙水压力_kPa,44.46,局部差分突变候选
附件4_训练集,6520,孔隙水压力_kPa,48.11,局部差分突变候选
附件4_训练集,7019,孔隙水压力_kPa,27.34,局部差分突变候选
附件4_训练集,8000,孔隙水压力_kPa,28.84,局部差分突变候选
附件4_训练集,8133,孔隙水压力_kPa,28.28,局部差分突变候选
附件4_训练集,8414,孔隙水压力_kPa,30.03,局部差分突变候选
附件4_训练集,8736,孔隙水压力_kPa,32.8,局部差分突变候选
附件4_训练集,8743,孔隙水压力_kPa,47.29,局部差分突变候选
附件4_训练集,8999,孔隙水压力_kPa,43.16,局部差分突变候选
附件4_训练集,9219,孔隙水压力_kPa,34.9,局部差分突变候选
附件4_训练集,9282,孔隙水压力_kPa,42.11,局部差分突变候选
附件4_训练集,9597,孔隙水压力_kPa,43.42,局部差分突变候选
附件4_训练集,9962,孔隙水压力_kPa,32.5,局部差分突变候选
